                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2617,                 4.7781,                 2.0271,                0.44103,                0.04171,                0.02011,                 0.0066,                 2.4188,                 4.2868,                 2.1439,               0.070178,              0.0033136,              0.0033136
                      1,                 2.1387,                 3.7206,                  1.837,                0.33008,                0.10193,                 0.0654,                0.02707,                 2.3409,                 3.8254,                 2.0188,               0.037984,              0.0044535,              0.0044535
                      2,                 2.0929,                 3.3812,                 1.8301,                0.16309,                0.15504,                0.08086,                0.03044,                  2.315,                 3.4878,                 1.9256,              0.0035905,              0.0033933,              0.0033933
