                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8354,                 2.1888,                 1.6527,                0.28926,                0.30916,                 0.2388,                0.11085,                 2.0718,                 2.4762,                 1.7877,               0.006733,               0.006733,               0.006733
                     35,                 1.8435,                 2.2029,                 1.6367,                0.27633,                0.32574,                0.24633,                  0.122,                 2.0479,                 2.6003,                 1.7952,               0.006634,               0.006634,               0.006634
                     36,                 1.8328,                 2.1954,                   1.65,                0.26696,                0.32364,                0.24224,                0.12597,                 2.1359,                 2.5154,                 1.8401,               0.006535,               0.006535,               0.006535
                     37,                 1.8194,                 2.1396,                 1.6253,                0.32468,                0.28595,                0.25228,                0.11853,                 2.0627,                 2.4244,                 1.7937,               0.006436,               0.006436,               0.006436
                     38,                 1.8216,                 2.1302,                 1.6254,                0.34182,                0.26284,                0.23795,                0.11803,                 2.1013,                 2.5163,                 1.8318,               0.006337,               0.006337,               0.006337
                     39,                 1.8091,                 2.1173,                 1.6165,                0.36081,                0.31522,                0.29841,                0.15155,                 2.0225,                 2.3342,                 1.7509,               0.006238,               0.006238,               0.006238
                     40,                 1.8326,                 2.0824,                 1.6231,                 0.2535,                0.34762,                0.24474,                0.12029,                 2.0353,                 2.4829,                 1.7505,               0.006139,               0.006139,               0.006139
                     41,                 1.7958,                 2.0584,                 1.5944,                0.33468,                0.32342,                0.27307,                0.14465,                 2.0557,                 2.3984,                 1.7742,                0.00604,                0.00604,                0.00604
                     42,                 1.7934,                 2.0611,                 1.5995,                0.33753,                0.35663,                 0.2749,                 0.1323,                 2.0779,                 2.4456,                 1.7887,               0.005941,               0.005941,               0.005941
                     43,                 1.7769,                 2.0147,                 1.5934,                0.33604,                0.35613,                0.29026,                0.13519,                 2.0785,                 2.3035,                 1.7812,               0.005842,               0.005842,               0.005842
                     44,                 1.7667,                 2.0351,                 1.5876,                0.31109,                0.42764,                0.27548,                0.13554,                 2.0114,                 2.3011,                 1.7383,               0.005743,               0.005743,               0.005743
                     45,                 1.7871,                 2.0553,                 1.6055,                0.40031,                0.33909,                0.29206,                0.14546,                 2.0684,                 2.3259,                  1.813,               0.005644,               0.005644,               0.005644
                     46,                 1.7365,                 1.9936,                 1.5766,                0.36155,                0.36736,                0.31065,                0.15626,                 2.0916,                 2.2766,                 1.8466,               0.005545,               0.005545,               0.005545
                     47,                 1.7594,                 1.9885,                  1.573,                0.32868,                0.40717,                 0.3105,                 0.1545,                  2.011,                 2.3314,                  1.739,               0.005446,               0.005446,               0.005446
                     48,                 1.7523,                 1.9937,                 1.5657,                0.34777,                0.40821,                0.32725,                0.16977,                 2.0556,                 2.3944,                  1.737,               0.005347,               0.005347,               0.005347
                     49,                 1.7417,                 1.9491,                 1.5583,                0.37927,                0.32724,                0.32114,                 0.1652,                 2.0153,                 2.2301,                 1.7471,               0.005248,               0.005248,               0.005248
                     50,                 1.7229,                 1.9212,                 1.5574,                0.41128,                0.33123,                 0.3047,                0.15136,                 2.0654,                 2.2564,                 1.7621,               0.005149,               0.005149,               0.005149
