                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0709,                 2.6948,                 1.8798,                0.22055,                0.25162,                0.15668,                 0.0737,                 2.0979,                 2.6325,                 1.8484,               0.070167,              0.0033148,              0.0033148
                      1,                 2.0961,                 2.7373,                 1.8844,                0.40618,                0.14812,                0.14019,                 0.0761,                 2.3271,                  3.225,                 2.0148,               0.040123,              0.0066043,              0.0066043
                      2,                 2.1552,                 2.8646,                 1.9703,                0.33278,                0.11147,                0.06878,                0.02767,                 2.5947,                 3.4021,                 2.2693,               0.010035,              0.0098497,              0.0098497
                      3,                  2.263,                 2.9985,                 2.0607,                0.32526,                0.13127,                0.07232,                0.02956,                 2.5328,                 3.4488,                  2.256,               0.009802,               0.009802,               0.009802
                      4,                 2.2848,                 3.0216,                 2.0904,                0.34306,                0.10209,                0.08731,                0.03864,                 2.5195,                 3.8261,                 2.2532,               0.009802,               0.009802,               0.009802
                      5,                 2.2924,                 2.9567,                 2.0643,                0.27134,                0.15676,                0.14034,                0.05121,                 2.3644,                  2.978,                 2.1222,               0.009736,               0.009736,               0.009736
                      6,                 2.2732,                 2.9633,                 2.0656,                0.18097,                0.12904,                0.11555,                0.04513,                 2.5391,                 3.1553,                 2.2032,                0.00967,                0.00967,                0.00967
                      7,                 2.2535,                 2.8806,                 2.0361,                0.37088,                0.14788,                0.10107,                0.03931,                 2.4583,                 2.9818,                 2.1388,               0.009604,               0.009604,               0.009604
                      8,                 2.2407,                 2.8942,                 2.0543,                0.15436,                0.18865,                0.10634,                0.05172,                 2.3811,                 3.0814,                 2.1291,               0.009538,               0.009538,               0.009538
                      9,                 2.2085,                 2.8861,                 2.0527,                 0.1713,                0.21961,                0.09188,                0.03892,                 2.2788,                 2.9127,                 2.0345,               0.009472,               0.009472,               0.009472
                     10,                 2.2117,                 2.8592,                 2.0234,                0.17318,                0.21309,                0.11475,                0.05323,                  2.295,                 2.8578,                 2.0671,               0.009406,               0.009406,               0.009406
                     11,                 2.1875,                 2.7946,                 2.0129,                0.21756,                0.24111,                0.14872,                0.06876,                 2.2831,                  2.868,                 2.0127,                0.00934,                0.00934,                0.00934
                     12,                 2.1604,                 2.7728,                 1.9818,                0.23514,                0.23581,                0.14689,                0.05578,                 2.3575,                 2.8131,                  2.081,               0.009274,               0.009274,               0.009274
                     13,                 2.1565,                 2.7042,                 1.9545,                0.38868,                0.16641,                0.20829,                0.08885,                 2.2518,                 2.7573,                  2.001,               0.009208,               0.009208,               0.009208
                     14,                  2.123,                 2.6643,                  1.969,                0.22449,                0.31136,                0.18854,                0.09182,                 2.2217,                 2.6551,                 1.9857,               0.009142,               0.009142,               0.009142
                     15,                 2.0833,                 2.6074,                 1.9323,                0.33313,                0.24099,                0.19519,                0.09464,                 2.1736,                 2.5327,                  1.911,               0.009076,               0.009076,               0.009076
                     16,                 2.0875,                 2.5986,                  1.907,                0.25408,                0.20535,                 0.1584,                0.07004,                 2.1871,                 2.6284,                 1.9329,                0.00901,                0.00901,                0.00901
                     17,                 2.0898,                 2.5821,                 1.9266,                0.28559,                0.20765,                0.18161,                  0.079,                 2.2296,                  2.585,                 1.9447,               0.008944,               0.008944,               0.008944
                     18,                 2.0678,                 2.5444,                 1.9054,                0.36489,                  0.289,                0.21049,                0.09053,                 2.2071,                  2.621,                 1.9235,               0.008878,               0.008878,               0.008878
                     19,                 2.0432,                 2.5056,                 1.8862,                0.28495,                0.25088,                0.19802,                0.09732,                 2.1543,                 2.5274,                 1.8912,               0.008812,               0.008812,               0.008812
                     20,                 2.0271,                  2.491,                 1.8858,                0.29044,                 0.2611,                0.20614,                0.10036,                 2.0758,                 2.5437,                 1.8861,               0.008746,               0.008746,               0.008746
                     21,                 2.0418,                 2.5076,                 1.9147,                0.30904,                0.27612,                0.22782,                0.11516,                 2.1718,                 2.6123,                 1.9586,                0.00868,                0.00868,                0.00868
                     22,                 2.0262,                   2.48,                 1.8709,                0.27235,                0.28864,                0.20189,                0.09477,                 2.1803,                 2.5307,                 1.8914,               0.008614,               0.008614,               0.008614
                     23,                 2.0023,                 2.4475,                 1.8618,                0.33582,                0.25671,                0.25666,                0.13079,                 2.1706,                 2.5916,                  1.935,               0.008548,               0.008548,               0.008548
                     24,                 2.0134,                 2.4275,                 1.8531,                 0.3936,                0.22031,                0.18558,                0.09424,                 2.2148,                 2.6852,                 1.9045,               0.008482,               0.008482,               0.008482
                     25,                 1.9853,                 2.4037,                 1.8462,                0.51514,                0.20328,                0.25966,                0.15357,                 2.1581,                 2.4851,                 1.9057,               0.008416,               0.008416,               0.008416
                     26,                 1.9871,                 2.3725,                 1.8445,                0.28457,                0.25532,                0.21112,                0.11832,                 2.1531,                 2.5585,                 1.8952,                0.00835,                0.00835,                0.00835
                     27,                 1.9596,                 2.3581,                 1.8272,                0.35756,                0.29738,                0.25554,                0.13602,                 2.1018,                 2.4676,                 1.8791,               0.008284,               0.008284,               0.008284
                     28,                 1.9649,                 2.3481,                  1.811,                0.44051,                 0.2299,                0.26014,                0.13257,                 2.1233,                 2.5142,                 1.8657,               0.008218,               0.008218,               0.008218
                     29,                 1.9682,                 2.3337,                 1.8122,                0.31364,                0.27291,                0.24615,                0.12319,                 2.1509,                 2.3884,                 1.9016,               0.008152,               0.008152,               0.008152
